#  Number of backbone atoms:500.0, calc_distances:True, lavg :1.5413478552416318
#  iFrame          Time(ps)     <Ree^2>/nl^2     6.0*<Rg^2>/nl^2      Cn_formula
#===============================================================================
       533        533.000         2.53         4.48          0.00
       534        534.000         2.73         3.08          0.00
       535        535.000         3.21         3.13          0.00
       536        536.000         3.70         8.24          0.00
       537        537.000         6.90        12.94          0.00
       538        538.000         1.33         5.46          0.00
       539        539.000         2.89         2.41          0.00
       540        540.000         8.51         6.00          0.00
       541        541.000         2.33         6.40          0.00
       542        542.000        12.02        12.03          0.00
       543        543.000         7.07         8.57          0.00
       544        544.000        16.74         9.73          0.00
       545        545.000         4.10         4.73          0.00
       546        546.000        15.70        13.50          0.00
       547        547.000         1.56         6.14          0.00
       548        548.000         3.51        12.46          0.00
       549        549.000         1.33         2.70          0.00
       550        550.000         4.58         4.22          0.00
       551        551.000         9.13         6.75          0.00
       552        552.000         6.65         8.10          0.00
       553        553.000        11.08         6.27          0.00
       554        554.000         5.60         8.93          0.00
       555        555.000         1.44         1.90          0.00
       556        556.000        14.97         7.18          0.00
       557        557.000         2.37         7.13          0.00
       558        558.000        11.10         6.90          0.00
       559        559.000         8.70         5.78          0.00
       560        560.000        24.79        14.55          0.00
       561        561.000         1.69         7.88          0.00
       562        562.000         1.35         8.90          0.00
       563        563.000         5.52         5.72          0.00
       564        564.000         5.98         8.77          0.00
       565        565.000         2.82         5.71          0.00
       566        566.000         9.06        15.12          0.00
       567        567.000         4.03         3.70          0.00
       568        568.000         4.23         7.59          0.00
       569        569.000         5.71         6.92          0.00
       570        570.000        12.50         8.28          0.00
       571        571.000         8.24        10.31          0.00
       572        572.000         6.22         8.38          0.00
       573        573.000         1.30         6.55          0.00
       574        574.000         4.18         3.77          0.00
       575        575.000        16.45        14.15          0.00
       576        576.000         3.96         3.80          0.00
       577        577.000         2.56         7.78          0.00
       578        578.000        19.82        14.73          0.00
       579        579.000        14.87        10.13          0.00
       580        580.000         5.74        14.92          0.00
       581        581.000         2.06         2.99          0.00
       582        582.000         6.49         7.09          0.00
       583        583.000        21.18        19.20          0.00
       584        584.000         1.77         2.91          0.00
       585        585.000         7.64         8.20          0.00
       586        586.000        13.73        16.46          0.00
       587        587.000        20.41        10.18          0.00
       588        588.000         8.75        12.98          0.00
       589        589.000         3.30         9.11          0.00
       590        590.000         3.63         4.81          0.00
       591        591.000         1.66         7.24          0.00
       592        592.000        11.73         7.58          0.00
       593        593.000         6.50         9.98          0.00
       594        594.000        10.94        14.30          0.00
       595        595.000        13.45        10.33          0.00
       596        596.000        13.71        17.84          0.00
       597        597.000         8.89         7.58          0.00
       598        598.000        22.33        12.74          0.00
       599        599.000         6.57         7.50          0.00
       600        600.000        17.15        17.94          0.00
       601        601.000         5.22         7.63          0.00
       602        602.000         3.10         4.12          0.00
       603        603.000         3.43         6.37          0.00
       604        604.000         3.54         2.99          0.00
       605        605.000         6.34         8.71          0.00
       606        606.000        14.97        10.44          0.00
       607        607.000        13.34        11.68          0.00
       608        608.000        24.13        14.75          0.00
       609        609.000         5.03         4.64          0.00
