           IFrame     Ebond           Eangle         Etors             Eimpr                ELJ                     Ecoul              ETot                Move           Flip         RotStrand        RotBranch       FlpBranch                 Time
       10900000     210.3648092     204.9109939     420.9013971       0.0000000           -39.0698546             0.0000000           797.1073456       7.4222233      17.7246807      33.6037693       0.0000000       0.0000000               560.087
       11000000     222.5323611     214.8752629     415.1713210       0.0000000           -39.7642619             0.0000000           812.8146832       7.4231100      17.7224576      33.6026857       0.0000000       0.0000000               565.241
       11100000     219.0590130     213.7271872     422.9586599       0.0000000           -38.5113892             0.0000000           817.2334708       7.4212242      17.7261068      33.6045250       0.0000000       0.0000000               570.376
       11200000     248.3908155     209.2985896     399.5753203       0.0000000           -34.3762731             0.0000000           822.8884523       7.4276521      17.7282346      33.6030644       0.0000000       0.0000000               575.502
       11300000     228.2905737     234.6255622     420.1738867       0.0000000           -39.0436264             0.0000000           844.0463963       7.4272217      17.7324125      33.6032096       0.0000000       0.0000000               580.645
       11400000     236.2514588     205.3352438     380.2746933       0.0000000           -40.7325825             0.0000000           781.1288135       7.4288798      17.7328944      33.6058395       0.0000000       0.0000000               585.766
       11500000     235.5715201     215.5590168     391.6127180       0.0000000           -38.7960729             0.0000000           803.9471820       7.4277778      17.7303604      33.6071616       0.0000000       0.0000000               590.892
       11600000     223.3995847     202.7643354     420.1459358       0.0000000           -38.6368973             0.0000000           807.6729585       7.4260713      17.7359835      33.6050510       0.0000000       0.0000000               596.040
       11700000     237.3461797     222.6789019     417.5569938       0.0000000           -35.5922821             0.0000000           841.9897933       7.4260283      17.7371638      33.6044062       0.0000000       0.0000000               601.187
       11800000     215.5209014     209.7923959     428.7969577       0.0000000           -34.8192392             0.0000000           819.2910157       7.4267931      17.7356725      33.6053502       0.0000000       0.0000000               606.335
       11900000     232.2828961     237.1969055     394.3625083       0.0000000           -37.4348555             0.0000000           826.4074544       7.4256856      17.7300973      33.6059520       0.0000000       0.0000000               611.490
       12000000     244.5484294     214.3661675     414.6372723       0.0000000           -36.9109704             0.0000000           836.6408988       7.4302681      17.7351798      33.6061549       0.0000000       0.0000000               616.646
       12100000     219.9026986     233.2048644     402.8903628       0.0000000           -38.2054612             0.0000000           817.7924646       7.4290789      17.7344099      33.6077904       0.0000000       0.0000000               621.793
       12200000     199.4899430     218.9279485     401.5714595       0.0000000           -38.7655666             0.0000000           781.2237844       7.4286089      17.7310065      33.6071353       0.0000000       0.0000000               626.925
       12300000     200.4639857     210.9298288     429.5428532       0.0000000           -29.6348722             0.0000000           811.3017955       7.4253001      17.7326685      33.6085623       0.0000000       0.0000000               632.076
       12400000     196.9150676     210.6914624     405.4583557       0.0000000           -40.1829288             0.0000000           772.8819569       7.4241053      17.7357868      33.6099161       0.0000000       0.0000000               637.228
       12500000     213.9591514     217.9598708     408.2195386       0.0000000           -38.1625071             0.0000000           801.9760536       7.4246754      17.7393648      33.6117371       0.0000000       0.0000000               642.362
       12600000     231.6452226     218.4887949     401.5832983       0.0000000           -39.3866256             0.0000000           812.3306903       7.4261844      17.7428733      33.6130686       0.0000000       0.0000000               647.500
       12700000     227.1919969     242.0386506     400.8540661       0.0000000           -41.7832277             0.0000000           828.3014860       7.4285049      17.7391999      33.6147220       0.0000000       0.0000000               652.650
       12800000     220.5302439     231.6752516     399.7226885       0.0000000           -39.7136922             0.0000000           812.2144919       7.4263591      17.7357946      33.6139084       0.0000000       0.0000000               657.777
       12900000     223.6494169     210.5274016     412.1978033       0.0000000           -40.8422624             0.0000000           805.5323595       7.4249866      17.7350965      33.6148606       0.0000000       0.0000000               662.898
       13000000     233.3056363     202.3034738     393.2457421       0.0000000           -41.2442325             0.0000000           787.6106198       7.4210076      17.7366110      33.6150961       0.0000000       0.0000000               668.046
       13100000     247.1945543     235.4912667     435.8133083       0.0000000           -39.2609755             0.0000000           879.2381538       7.4225939      17.7344935      33.6105800       0.0000000       0.0000000               673.202
       13200000     261.4944094     224.9674745     419.2458712       0.0000000           -37.5576693             0.0000000           868.1500858       7.4236671      17.7295504      33.6120471       0.0000000       0.0000000               678.349
       13300000     227.9105756     197.2465826     403.0605227       0.0000000           -37.6203174             0.0000000           790.5973635       7.4226304      17.7273836      33.6097359       0.0000000       0.0000000               683.493
       13400000     244.5407320     206.8826406     412.1521082       0.0000000           -33.0937715             0.0000000           830.4817094       7.4193840      17.7263474      33.6099465       0.0000000       0.0000000               688.626
       13500000     223.6655318     224.1146231     428.6711631       0.0000000           -40.4658374             0.0000000           835.9854807       7.4179685      17.7345037      33.6109329       0.0000000       0.0000000               693.772
       13600000     224.7873757     214.2956824     414.9436351       0.0000000           -37.0511401             0.0000000           816.9755531       7.4178774      17.7373588      33.6095602       0.0000000       0.0000000               698.902
       13700000     208.9582842     214.3822199     391.9006040       0.0000000           -37.7287636             0.0000000           777.5123445       7.4151261      17.7313238      33.6110499       0.0000000       0.0000000               704.057
       13800000     208.6820249     237.3142316     418.0366246       0.0000000           -39.8225836             0.0000000           824.2102975       7.4160194      17.7241269      33.6091775       0.0000000       0.0000000               709.199
       13900000     189.3161092     220.2214186     436.3219690       0.0000000           -35.0179734             0.0000000           810.8415235       7.4179475      17.7217354      33.6108045       0.0000000       0.0000000               714.345
       14000000     230.0645169     204.1377815     358.9708364       0.0000000           -41.3614915             0.0000000           751.8116432       7.4198001      17.7210992      33.6092586       0.0000000       0.0000000               719.509
       14100000     196.0307578     211.7229704     410.5845167       0.0000000           -39.8315937             0.0000000           778.5066513       7.4219503      17.7164119      33.6126993       0.0000000       0.0000000               724.650
       14200000     222.5390829     218.3616422     393.1162667       0.0000000           -41.9599014             0.0000000           792.0570904       7.4214823      17.7127991      33.6124323       0.0000000       0.0000000               729.789
       14300000     238.7274621     234.6180364     414.4723461       0.0000000           -35.6721809             0.0000000           852.1456635       7.4201002      17.7150088      33.6137449       0.0000000       0.0000000               734.931
       14400000     204.2123228     216.8478568     398.3136443       0.0000000           -39.3754115             0.0000000           779.9984124       7.4194252      17.7113956      33.6115080       0.0000000       0.0000000               740.083
       14500000     215.2125554     231.3757413     387.2519857       0.0000000           -36.0423402             0.0000000           797.7979423       7.4172964      17.7079962      33.6099979       0.0000000       0.0000000               745.202
       14600000     199.2297292     213.3611907     393.3957963       0.0000000           -34.2936669             0.0000000           771.6930494       7.4148378      17.7068799      33.6062960       0.0000000       0.0000000               750.356
       14700000     235.9140130     213.2261432     412.2353691       0.0000000           -38.9850327             0.0000000           822.3904926       7.4120872      17.7096535      33.6084691       0.0000000       0.0000000               755.491
       14800000     221.7661695     234.6029493     393.2093086       0.0000000           -38.4341931             0.0000000           811.1442343       7.4124337      17.7071853      33.6086773       0.0000000       0.0000000               760.640
       14900000     217.6346961     243.0914633     399.8665033       0.0000000           -30.5353542             0.0000000           830.0573084       7.4136029      17.7079041      33.6078622       0.0000000       0.0000000               765.804
       15000000     217.5998639     234.5603517     418.3178363       0.0000000           -41.0823345             0.0000000           829.3957174       7.4101822      17.7079783      33.6075940       0.0000000       0.0000000               770.948
       15100000     219.7356760     251.8137128     399.1224334       0.0000000           -33.5795805             0.0000000           837.0922416       7.4116892      17.7116170      33.6066170       0.0000000       0.0000000               776.089
       15200000     219.8019918     236.2550137     414.7305462       0.0000000           -40.8710317             0.0000000           829.9165200       7.4105063      17.7150889      33.6054653       0.0000000       0.0000000               781.240
       15300000     240.9275521     217.2792206     449.5078302       0.0000000           -39.2233922             0.0000000           868.4912106       7.4086686      17.7167050      33.6053003       0.0000000       0.0000000               786.399
       15400000     222.2745888     236.2690058     386.1627302       0.0000000           -38.7428774             0.0000000           805.9634476       7.4081289      17.7174368      33.6060851       0.0000000       0.0000000               791.553
       15500000     234.0816500     229.4660184     393.3679676       0.0000000           -42.6518387             0.0000000           814.2637973       7.4068387      17.7215948      33.6049733       0.0000000       0.0000000               796.709
       15600000     229.3268816     223.1203697     417.0389971       0.0000000           -39.9319058             0.0000000           829.5543426       7.4074691      17.7250430      33.6036331       0.0000000       0.0000000               801.858
       15700000     213.2702136     229.0006360     435.0894902       0.0000000           -32.3023869             0.0000000           845.0579529       7.4070960      17.7261594      33.6032712       0.0000000       0.0000000               807.012
       15800000     230.4872946     202.7743970     424.8095888       0.0000000           -34.8080252             0.0000000           823.2632552       7.4078974      17.7320854      33.6016047       0.0000000       0.0000000               812.162
       15900000     225.9115220     201.0946636     403.3510321       0.0000000           -38.1159020             0.0000000           792.2413157       7.4087936      17.7314451      33.5992618       0.0000000       0.0000000               817.292
       16000000     203.5075322     203.7693526     423.9372514       0.0000000           -38.0193649             0.0000000           793.1947714       7.4070000      17.7311502      33.6011687       0.0000000       0.0000000               822.437
       16100000     238.0996555     240.9782538     403.6865832       0.0000000           -39.5775830             0.0000000           843.1869096       7.4056959      17.7330285      33.6017662       0.0000000       0.0000000               827.566
       16200000     242.0572051     219.2660598     402.4442520       0.0000000           -36.2960515             0.0000000           827.4714655       7.4020927      17.7325992      33.6009149       0.0000000       0.0000000               832.683
       16300000     251.2073591     223.7566213     412.1068247       0.0000000           -31.9171720             0.0000000           855.1536332       7.4012262      17.7343701      33.6003978       0.0000000       0.0000000               837.831
       16400000     237.8034707     269.1154345     392.4700791       0.0000000           -40.0674966             0.0000000           859.3214877       7.4000020      17.7316381      33.6017130       0.0000000       0.0000000               842.973
       16500000     232.2779271     214.4012561     411.8799873       0.0000000           -37.9799849             0.0000000           820.5791856       7.4010707      17.7344588      33.6018896       0.0000000       0.0000000               848.103
       16600000     218.3020132     207.9701488     420.2257151       0.0000000           -40.8620307             0.0000000           805.6358463       7.4015751      17.7352816      33.5996079       0.0000000       0.0000000               853.246
