#  iFrame          Time(ps)     <Rg^2>(A^2)     stdRg^2(A^2)     <Rg^2>/M(molnm2/kg)
#===================================================================================
       283        283.000      1272.54         0.00        2.119
       284        284.000      2395.28         0.00        3.989
       285        285.000      2782.77         0.00        4.634
       286        286.000      3040.69         0.00        5.064
       287        287.000      1619.90         0.00        2.698
       288        288.000       881.97         0.00        1.469
       289        289.000      1181.98         0.00        1.968
       290        290.000      2389.09         0.00        3.979
       291        291.000      1326.34         0.00        2.209
       292        292.000      1716.92         0.00        2.859
       293        293.000      2300.85         0.00        3.832
       294        294.000       833.09         0.00        1.387
       295        295.000      3676.79         0.00        6.123
       296        296.000      1623.15         0.00        2.703
       297        297.000      2990.97         0.00        4.981
       298        298.000       795.38         0.00        1.325
       299        299.000      2421.60         0.00        4.033
       300        300.000      1717.26         0.00        2.860
       301        301.000       994.06         0.00        1.655
       302        302.000      2403.70         0.00        4.003
       303        303.000       907.41         0.00        1.511
       304        304.000      2360.03         0.00        3.930
       305        305.000      1199.93         0.00        1.998
       306        306.000       856.58         0.00        1.426
       307        307.000       659.70         0.00        1.099
       308        308.000       977.12         0.00        1.627
       309        309.000       861.85         0.00        1.435
       310        310.000      2176.94         0.00        3.625
       311        311.000      2371.56         0.00        3.949
       312        312.000      1528.87         0.00        2.546
       313        313.000      2669.54         0.00        4.446
       314        314.000      1645.69         0.00        2.741
       315        315.000      1026.57         0.00        1.710
       316        316.000      2593.71         0.00        4.319
       317        317.000      1331.95         0.00        2.218
       318        318.000      1420.81         0.00        2.366
       319        319.000       713.53         0.00        1.188
       320        320.000      1730.21         0.00        2.881
       321        321.000      1957.76         0.00        3.260
       322        322.000       983.44         0.00        1.638
       323        323.000      2395.49         0.00        3.989
       324        324.000      1112.35         0.00        1.852
       325        325.000      1232.05         0.00        2.052
       326        326.000       806.46         0.00        1.343
       327        327.000      4811.49         0.00        8.012
       328        328.000      1296.44         0.00        2.159
       329        329.000      1690.23         0.00        2.815
       330        330.000      2936.75         0.00        4.891
       331        331.000      3185.25         0.00        5.304
       332        332.000       620.30         0.00        1.033
       333        333.000      1297.44         0.00        2.161
       334        334.000      1603.97         0.00        2.671
       335        335.000      1605.81         0.00        2.674
       336        336.000      1170.12         0.00        1.949
       337        337.000      1443.24         0.00        2.403
       338        338.000       483.76         0.00        0.806
       339        339.000      1322.01         0.00        2.202
       340        340.000      2478.96         0.00        4.128
       341        341.000      1108.95         0.00        1.847
       342        342.000      1607.56         0.00        2.677
       343        343.000      1271.97         0.00        2.118
       344        344.000      1563.42         0.00        2.604
       345        345.000      2117.90         0.00        3.527
       346        346.000      1297.25         0.00        2.160
       347        347.000      2328.00         0.00        3.877
       348        348.000      1242.13         0.00        2.068
       349        349.000      1814.38         0.00        3.021
       350        350.000       952.75         0.00        1.587
       351        351.000      3159.21         0.00        5.261
       352        352.000      2179.77         0.00        3.630
       353        353.000      1674.05         0.00        2.788
       354        354.000      2275.69         0.00        3.790
       355        355.000      1192.48         0.00        1.986
       356        356.000      1074.88         0.00        1.790
       357        357.000      1256.51         0.00        2.092
       358        358.000       985.96         0.00        1.642
       359        359.000      1220.94         0.00        2.033
       360        360.000      1694.24         0.00        2.821
       361        361.000      1218.16         0.00        2.029
       362        362.000      1776.14         0.00        2.958
       363        363.000      1355.23         0.00        2.257
       364        364.000      1061.02         0.00        1.767
       365        365.000      3392.90         0.00        5.650
       366        366.000      1434.80         0.00        2.389
       367        367.000      3615.92         0.00        6.022
       368        368.000      3643.73         0.00        6.068
       369        369.000      2133.07         0.00        3.552
       370        370.000      2737.52         0.00        4.559
       371        371.000      1972.58         0.00        3.285
       372        372.000      1379.86         0.00        2.298
       373        373.000      1812.53         0.00        3.018
       374        374.000      4065.99         0.00        6.771
       375        375.000      1845.38         0.00        3.073
       376        376.000      3721.57         0.00        6.197
       377        377.000      2183.74         0.00        3.637
       378        378.000      1596.40         0.00        2.658
       379        379.000       793.59         0.00        1.322
       380        380.000      1413.66         0.00        2.354
       381        381.000      2319.58         0.00        3.863
       382        382.000      1250.05         0.00        2.082
       383        383.000      1750.02         0.00        2.914
       384        384.000      2216.69         0.00        3.691
       385        385.000      1412.44         0.00        2.352
       386        386.000      1054.45         0.00        1.756
       387        387.000      1741.09         0.00        2.899
       388        388.000      4061.67         0.00        6.764
       389        389.000      1686.59         0.00        2.809
       390        390.000      1099.07         0.00        1.830
       391        391.000      1236.29         0.00        2.059
       392        392.000      1292.89         0.00        2.153
       393        393.000      1315.22         0.00        2.190
       394        394.000      1745.65         0.00        2.907
       395        395.000      3679.22         0.00        6.127
       396        396.000       741.10         0.00        1.234
       397        397.000      3802.86         0.00        6.333
       398        398.000      2106.14         0.00        3.507
       399        399.000       562.42         0.00        0.937
       400        400.000      1603.89         0.00        2.671
       401        401.000       813.69         0.00        1.355
       402        402.000      1661.60         0.00        2.767
       403        403.000      2229.76         0.00        3.713
       404        404.000      1300.25         0.00        2.165
       405        405.000       893.05         0.00        1.487
       406        406.000      3693.83         0.00        6.151
       407        407.000       334.85         0.00        0.558
       408        408.000      2634.94         0.00        4.388
       409        409.000      2070.88         0.00        3.449
       410        410.000      1913.49         0.00        3.186
       411        411.000      1668.81         0.00        2.779
       412        412.000      1185.25         0.00        1.974
       413        413.000      1289.64         0.00        2.148
       414        414.000      1739.51         0.00        2.897
       415        415.000      1269.20         0.00        2.114
       416        416.000      1670.43         0.00        2.782
       417        417.000       724.13         0.00        1.206
       418        418.000      1339.12         0.00        2.230
       419        419.000      3190.15         0.00        5.312
       420        420.000      2247.10         0.00        3.742
       421        421.000      1989.87         0.00        3.314
       422        422.000       760.23         0.00        1.266
       423        423.000      1920.62         0.00        3.198
       424        424.000      2891.91         0.00        4.816
       425        425.000       807.24         0.00        1.344
       426        426.000      1622.06         0.00        2.701
       427        427.000       821.72         0.00        1.368
       428        428.000      2533.34         0.00        4.219
       429        429.000      3040.60         0.00        5.063
       430        430.000      3688.69         0.00        6.143
       431        431.000      2006.87         0.00        3.342
       432        432.000      1981.91         0.00        3.300
       433        433.000      2805.59         0.00        4.672
