# of segments(n)      <R2>(A^2)/n     <R2>(A^2)/nl2      <R2>(A^2)    Count
# =========================================================================
     299           18.481                7.757         5525.903          402201
     300           18.478                7.755         5543.305          400200
     301           18.474                7.754         5560.720          398199
     302           18.471                7.752         5578.120          396198
     303           18.467                7.751         5595.547          394197
     304           18.464                7.749         5612.982          392196
     305           18.460                7.748         5630.445          390195
     306           18.457                7.747         5647.916          388194
     307           18.454                7.745         5665.388          386193
     308           18.451                7.744         5682.866          384192
     309           18.448                7.743         5700.323          382191
     310           18.444                7.741         5717.773          380190
     311           18.441                7.740         5735.209          378189
     312           18.438                7.739         5752.637          376188
     313           18.435                7.737         5770.053          374187
     314           18.431                7.736         5787.489          372186
     315           18.428                7.735         5804.895          370185
     316           18.425                7.733         5822.310          368184
     317           18.422                7.732         5839.714          366183
     318           18.419                7.731         5857.153          364182
     319           18.416                7.729         5874.594          362181
     320           18.413                7.728         5892.087          360180
     321           18.410                7.727         5909.621          358179
     322           18.407                7.726         5927.182          356178
     323           18.405                7.725         5944.799          354177
     324           18.403                7.724         5962.417          352176
     325           18.400                7.723         5980.083          350175
     326           18.398                7.722         5997.757          348174
     327           18.396                7.721         6015.474          346173
     328           18.394                7.720         6033.190          344172
     329           18.392                7.719         6050.943          342171
     330           18.390                7.719         6068.738          340170
     331           18.388                7.718         6086.586          338169
     332           18.387                7.717         6104.486          336168
     333           18.386                7.717         6122.432          334167
     334           18.384                7.716         6140.401          332166
     335           18.383                7.716         6158.429          330165
     336           18.382                7.715         6176.464          328164
     337           18.381                7.715         6194.508          326163
     338           18.380                7.714         6212.576          324162
     339           18.379                7.714         6230.612          322161
     340           18.378                7.714         6248.654          320160
     341           18.377                7.713         6266.676          318159
     342           18.376                7.713         6284.701          316158
     343           18.375                7.712         6302.761          314157
     344           18.375                7.712         6320.836          312156
     345           18.374                7.712         6338.944          310155
     346           18.373                7.711         6357.094          308154
     347           18.373                7.711         6375.299          306153
     348           18.372                7.711         6393.482          304152
     349           18.372                7.711         6411.732          302151
     350           18.371                7.711         6429.944          300150
     351           18.371                7.710         6448.186          298149
     352           18.370                7.710         6466.416          296148
     353           18.370                7.710         6484.681          294147
     354           18.370                7.710         6502.948          292146
     355           18.370                7.710         6521.210          290145
     356           18.369                7.710         6539.539          288144
     357           18.370                7.710         6557.914          286143
     358           18.370                7.710         6576.397          284142
     359           18.370                7.710         6594.894          282141
     360           18.371                7.710         6613.434          280140
     361           18.371                7.711         6632.026          278139
     362           18.372                7.711         6650.638          276138
     363           18.373                7.711         6669.291          274137
     364           18.374                7.712         6687.959          272136
     365           18.374                7.712         6706.654          270135
     366           18.375                7.712         6725.353          268134
     367           18.376                7.713         6744.064          266133
     368           18.377                7.713         6762.797          264132
     369           18.378                7.713         6781.507          262131
     370           18.379                7.714         6800.251          260130
     371           18.380                7.714         6819.010          258129
     372           18.381                7.715         6837.738          256128
     373           18.382                7.715         6856.483          254127
     374           18.383                7.716         6875.246          252126
     375           18.384                7.716         6893.995          250125
     376           18.385                7.716         6912.768          248124
     377           18.386                7.717         6931.563          246123
     378           18.387                7.717         6950.413          244122
     379           18.389                7.718         6969.280          242121
     380           18.390                7.718         6988.198          240120
     381           18.391                7.719         7007.137          238119
     382           18.393                7.720         7026.069          236118
     383           18.394                7.720         7045.018          234117
     384           18.396                7.721         7063.955          232116
     385           18.397                7.722         7082.918          230115
     386           18.399                7.722         7101.924          228114
     387           18.400                7.723         7120.903          226113
     388           18.402                7.723         7139.944          224112
     389           18.404                7.724         7158.981          222111
     390           18.405                7.725         7178.055          220110
     391           18.407                7.726         7197.166          218109
     392           18.409                7.726         7216.334          216108
     393           18.411                7.727         7235.522          214107
     394           18.413                7.728         7254.718          212106
     395           18.415                7.729         7273.898          210105
     396           18.417                7.730         7293.031          208104
     397           18.419                7.730         7312.169          206103
     398           18.420                7.731         7331.291          204102
     399           18.422                7.732         7350.409          202101
     400           18.424                7.733         7369.564          200100
     401           18.426                7.734         7388.771          198099
     402           18.428                7.734         7408.007          196098
     403           18.430                7.735         7427.287          194097
     404           18.432                7.736         7446.588          192096
     405           18.434                7.737         7465.915          190095
     406           18.437                7.738         7485.272          188094
     407           18.439                7.739         7504.682          186093
     408           18.442                7.740         7524.154          184092
     409           18.444                7.741         7543.630          182091
     410           18.447                7.742         7563.129          180090
     411           18.449                7.743         7582.586          178089
     412           18.452                7.744         7602.030          176088
     413           18.454                7.745         7621.448          174087
     414           18.456                7.746         7640.848          172086
     415           18.459                7.747         7660.302          170085
     416           18.461                7.748         7679.746          168084
     417           18.463                7.749         7699.266          166083
     418           18.466                7.750         7718.787          164082
     419           18.469                7.751         7738.332          162081
     420           18.471                7.753         7757.924          160080
     421           18.474                7.754         7777.569          158079
     422           18.477                7.755         7797.321          156078
     423           18.480                7.756         7817.146          154077
     424           18.484                7.758         7837.032          152076
     425           18.487                7.759         7856.903          150075
     426           18.490                7.761         7876.839          148074
     427           18.494                7.762         7896.773          146073
