 Time Step CPU E_bond E_angle E_dihed E_impro E_pair E_vdwl E_coul E_long E_tail PotEng Temp Press Lx Ly Lz Density
590.000000 590.000000 590000.000000 1452.153400 27148.207423 42127.788072 10678.253339 0.000000 -6313.792398 -10419.216878 14817.630561 -10712.205662 -1129.943801 73640.454344 494.917370 -326.183474 5.123681 5.123681 5.123681 707.505550
600.000000 600.000000 600000.000000 1476.668600 27450.879657 42006.866288 10170.475986 0.000000 -6323.377942 -10327.227873 14716.261027 -10712.411097 -1124.168626 73304.843152 496.526520 414.336903 5.132440 5.132440 5.132440 703.889470
610.000000 610.000000 610000.000000 1501.116100 27055.932650 41963.854768 10113.163136 0.000000 -6426.219826 -10425.097490 14711.238972 -10712.361307 -1124.193897 72706.727800 501.142100 -419.524743 5.132402 5.132402 5.132402 703.905300
620.000000 620.000000 620000.000000 1525.771900 26448.301209 42330.912904 10288.014170 0.000000 -6075.080973 -10063.998207 14701.079802 -10712.162986 -1115.585652 72992.147728 499.860680 1106.259663 5.145569 5.145569 5.145569 698.515310
630.000000 630.000000 630000.000000 1550.190300 26913.433142 42002.272256 10509.383334 0.000000 -6246.441295 -10080.063094 14546.000678 -10712.378880 -1121.961692 73178.649528 495.803790 -236.735983 5.135804 5.135804 5.135804 702.507600
640.000000 640.000000 640000.000000 1574.885500 26836.778078 42436.659320 10751.169581 0.000000 -6651.812738 -10705.182400 14765.807955 -10712.438293 -1139.822434 73372.795496 496.701690 500.381901 5.108837 5.108837 5.108837 713.690960
650.000000 650.000000 650000.000000 1599.443000 26731.709888 42333.732920 10200.160211 0.000000 -6843.805201 -10668.968625 14537.105913 -10711.942489 -1130.038569 72421.797400 503.385670 -536.212771 5.123538 5.123538 5.123538 707.564880
660.000000 660.000000 660000.000000 1624.354100 27057.656040 42723.430680 10360.184404 0.000000 -7178.390058 -11111.625365 14645.752259 -10712.516952 -1150.245532 72962.880648 497.274810 130.479921 5.093358 5.093358 5.093358 720.217320
670.000000 670.000000 670000.000000 1649.124200 26832.274838 42091.646680 10282.754045 0.000000 -6600.151634 -10651.624690 14763.878294 -10712.405239 -1130.455170 72606.525184 499.271230 521.141914 5.122909 5.122909 5.122909 707.825740
680.000000 680.000000 680000.000000 1674.120400 26414.584863 42823.545432 10137.689744 0.000000 -6523.957229 -10525.933564 14713.844767 -10711.868432 -1137.946538 72851.862392 500.250350 555.893977 5.111642 5.111642 5.111642 712.516400
690.000000 690.000000 690000.000000 1698.855300 27094.547205 41818.777915 10287.930908 0.000000 -6562.642493 -10504.156262 14653.325718 -10711.811530 -1122.843135 72638.612280 500.370450 -650.861482 5.134459 5.134459 5.134459 703.059520
700.000000 700.000000 700000.000000 1723.474200 26862.600470 42640.671160 10220.995276 0.000000 -6584.626484 -10553.314497 14680.865642 -10712.177630 -1128.366098 73139.637912 498.770020 732.682129 5.126068 5.126068 5.126068 706.517690
710.000000 710.000000 710000.000000 1748.112400 26941.300255 42868.678240 10318.054034 0.000000 -6471.220838 -10646.881707 14887.503779 -10711.842910 -1130.631442 73656.809600 497.450370 -501.350466 5.122643 5.122643 5.122643 707.936090
720.000000 720.000000 720000.000000 1772.776000 26609.241279 42105.340912 10097.728778 0.000000 -6463.091326 -10539.801850 14788.704477 -10711.993952 -1137.190615 72349.217552 501.699860 873.342558 5.112775 5.112775 5.112775 712.043080
730.000000 730.000000 730000.000000 1797.420300 26710.821268 42009.347400 10307.124171 0.000000 -6771.617812 -10739.152714 14679.879474 -10712.344571 -1143.059763 72255.675864 504.967260 281.170623 5.104009 5.104009 5.104009 715.718000
