 Time Density Pressure Temperature Box-X Box-Y Box-Z
1680.0 1680.0 690.90365 -981.3003529875 500.49537 5.1643965000000005 5.1643965000000005 5.1643965000000005
1690.0 1690.0 707.16505 -88.384995006 495.97106 5.124503700000001 5.124503700000001 5.124503700000001
1700.0 1700.0 709.47252 38.920792827 496.15049 5.118942100000001 5.118942100000001 5.118942100000001
1710.0 1710.0 718.9031200000001 591.09746388 499.80553 5.09646 5.09646 5.09646
1720.0 1720.0 713.5063 225.5269659825 498.1466 5.1092773000000005 5.1092772 5.1092773000000005
1730.0 1730.0 714.05178 -285.92293800000004 498.01014 5.1079759000000005 5.1079759000000005 5.1079759000000005
1740.0 1740.0 701.53737 145.2323547675 503.7826 5.138170000000001 5.138170000000001 5.138170000000001
1750.0 1750.0 713.04499 -68.74427049 503.18106 5.110378900000001 5.110378900000001 5.110378900000001
1760.0 1760.0 714.5613400000001 -994.3750574100001 496.37377 5.1067614 5.1067614 5.1067614
1770.0 1770.0 702.39256 -1212.3029625 500.84308 5.1360839 5.1360839 5.1360839
1780.0 1780.0 707.59771 -217.3013619525 500.67404 5.123459 5.123459 5.123459
1790.0 1790.0 697.55647 -370.00703328749995 499.337 5.147925900000001 5.147925900000001 5.147925900000001
1800.0 1800.0 709.60115 -263.1867124425 500.71096 5.1186328 5.1186328 5.1186328
1810.0 1810.0 710.7378199999999 -1158.2712036 500.70982 5.1159026 5.1159026 5.1159026
1820.0 1820.0 706.75338 -238.854537075 500.96527 5.1254985 5.1254985 5.1254985
1830.0 1830.0 723.34604 962.784941895 497.93297 5.0860041 5.0860041 5.0860041
1840.0 1840.0 707.57684 510.11261663249996 498.07572 5.1235094 5.1235094 5.1235094
1850.0 1850.0 703.07043 -1019.664784425 500.2594 5.1344327000000005 5.1344327000000005 5.1344327000000005
1860.0 1860.0 709.5423199999999 -1121.512824075 498.28868 5.118774200000001 5.118774200000001 5.118774200000001
1870.0 1870.0 719.46608 499.286698995 500.17756 5.0951304 5.0951304 5.0951304
1880.0 1880.0 703.6453 492.552801615 500.83941 5.133034 5.133034 5.133034
1890.0 1890.0 698.27097 -363.40330813500003 503.71262 5.146169400000001 5.146169400000001 5.146169400000001
1900.0 1900.0 704.41129 483.73507455 501.55495 5.131172800000001 5.131172800000001 5.131172800000001
1910.0 1910.0 717.03839 -44.26644043499999 501.19613 5.1008741 5.1008741 5.1008741
1920.0 1920.0 718.12132 159.34312758000002 498.80727 5.098308800000001 5.098308800000001 5.098308800000001
1930.0 1930.0 718.5419199999999 -455.84759744999997 501.1447 5.0973138 5.0973138 5.0973138
1940.0 1940.0 709.02684 261.8276199525 501.33111 5.1200144000000005 5.1200144000000005 5.1200144000000005
1950.0 1950.0 717.5096100000001 883.7935525649999 499.85939 5.0997572 5.0997572 5.0997572
1960.0 1960.0 711.8883099999999 -202.50478101000002 499.53967 5.1131451000000006 5.1131451000000006 5.1131451000000006
1970.0 1970.0 717.61257 509.5141101225 503.89933 5.099513300000001 5.099513300000001 5.099513300000001
1980.0 1980.0 705.0441 -779.3400519974999 500.38067 5.1296372 5.1296372 5.1296372
1990.0 1990.0 716.12939 -259.9833833625 504.56113 5.1030314 5.1030314 5.1030314
2000.0 2000.0 715.7675399999999 175.53478152 499.28278 5.1038912000000005 5.1038912000000005 5.1038912000000005
2010.0 2010.0 709.6734799999999 36.53676249825 496.18716 5.1184589 5.1184589 5.1184589
2020.0 2020.0 712.64993 -23.60610777525 498.62404 5.1113230000000005 5.1113230000000005 5.1113230000000005
2030.0 2030.0 705.9551299999999 -63.014801755499995 496.53005 5.1274296 5.1274296 5.1274296
2040.0 2040.0 714.1280399999999 834.7544918474999 500.92492 5.1077941000000004 5.1077941000000004 5.1077941000000004
2050.0 2050.0 710.75211 -1015.0466948999999 499.00868 5.115868300000001 5.115868300000001 5.115868300000001
2060.0 2060.0 719.6525 1190.73593625 499.75867 5.094690400000001 5.094690400000001 5.094690400000001
2070.0 2070.0 714.55545 931.3888130925 502.21601 5.1067755 5.1067755 5.1067755
2080.0 2080.0 712.37765 -262.5524787375 496.62779 5.1119741 5.1119741 5.1119741
2090.0 2090.0 713.24912 -571.5899391825 498.08952 5.109891300000001 5.109891300000001 5.109891300000001
2100.0 2100.0 699.5928700000001 -189.0045115875 495.73535 5.1429261 5.1429261 5.1429261
2110.0 2110.0 713.42255 72.85086533549999 500.57886 5.109477200000001 5.109477200000001 5.109477200000001
2120.0 2120.0 710.36374 480.14723735999996 500.3668 5.116800400000001 5.116800400000001 5.116800400000001
2130.0 2130.0 706.8605799999999 -817.9824584400001 503.60917 5.125239400000001 5.125239400000001 5.125239400000001
2140.0 2140.0 706.8307900000001 -8.853977299650001 500.04823 5.1253114 5.1253114 5.1253114
2150.0 2150.0 709.95418 -45.28177063725 497.96159 5.1177842 5.1177842 5.1177842
