# # of beads(n)  # of segments(m)      <Ree2>/m          <Ree2>/n       Ree(ilength)         Count
# -------------  ----------------      --------          --------       ------------         -----
     206           205              0.2072074017E+02  0.2062015405E+02   0.4247751735E+04   4454500
     207           206              0.2072336050E+02  0.2062324765E+02   0.4269012263E+04   4439400
     208           207              0.2072599236E+02  0.2062634817E+02   0.4290280419E+04   4424300
     209           208              0.2072865205E+02  0.2062947190E+02   0.4311559627E+04   4409200
     210           209              0.2073130574E+02  0.2063258524E+02   0.4332842900E+04   4394100
     211           210              0.2073395838E+02  0.2063569318E+02   0.4354131260E+04   4379000
     212           211              0.2073659346E+02  0.2063877934E+02   0.4375421219E+04   4363900
     213           212              0.2073922492E+02  0.2064185767E+02   0.4396715684E+04   4348800
     214           213              0.2074185234E+02  0.2064492779E+02   0.4418014548E+04   4333700
     215           214              0.2074448598E+02  0.2064800000E+02   0.4439320000E+04   4318600
     216           215              0.2074713317E+02  0.2065108163E+02   0.4460633633E+04   4303500
     217           216              0.2074978593E+02  0.2065416480E+02   0.4481953761E+04   4288400
     218           217              0.2075244547E+02  0.2065725077E+02   0.4503280668E+04   4273300
     219           218              0.2075509144E+02  0.2066031933E+02   0.4524609934E+04   4258200
     220           219              0.2075773643E+02  0.2066338308E+02   0.4545944278E+04   4243100
     221           220              0.2076036785E+02  0.2066642953E+02   0.4567280927E+04   4228000
     222           221              0.2076299007E+02  0.2066946309E+02   0.4588620806E+04   4212900
     223           222              0.2076559655E+02  0.2067247729E+02   0.4609962435E+04   4197800
     224           223              0.2076819084E+02  0.2067547570E+02   0.4631306558E+04   4182700
     225           224              0.2077079775E+02  0.2067848309E+02   0.4652658696E+04   4167600
     226           225              0.2077343226E+02  0.2068151442E+02   0.4674022260E+04   4152500
     227           226              0.2077608762E+02  0.2068456300E+02   0.4695395802E+04   4137400
     228           227              0.2077877349E+02  0.2068763852E+02   0.4716781583E+04   4122300
     229           228              0.2078149273E+02  0.2069074386E+02   0.4738180343E+04   4107200
     230           229              0.2078424248E+02  0.2069387621E+02   0.4759591528E+04   4092100
     231           230              0.2078703347E+02  0.2069704631E+02   0.4781017698E+04   4077000
     232           231              0.2078981198E+02  0.2070020072E+02   0.4802446567E+04   4061900
     233           232              0.2079258473E+02  0.2070334617E+02   0.4823879657E+04   4046800
     234           233              0.2079536530E+02  0.2070649622E+02   0.4845320115E+04   4031700
     235           234              0.2079813440E+02  0.2070963170E+02   0.4866763450E+04   4016600
     236           235              0.2080087766E+02  0.2071273835E+02   0.4888206251E+04   4001500
     237           236              0.2080361097E+02  0.2071583202E+02   0.4909652190E+04   3986400
     238           237              0.2080631791E+02  0.2071889640E+02   0.4931097344E+04   3971300
     239           238              0.2080902077E+02  0.2072195374E+02   0.4952546944E+04   3956200
     240           239              0.2081171747E+02  0.2072500198E+02   0.4974000475E+04   3941100
     241           240              0.2081440415E+02  0.2072803733E+02   0.4995456996E+04   3926000
     242           241              0.2081707981E+02  0.2073105882E+02   0.5016916234E+04   3910900
     243           242              0.2081979604E+02  0.2073411787E+02   0.5038390642E+04   3895800
     244           243              0.2082253793E+02  0.2073719966E+02   0.5059876717E+04   3880700
     245           244              0.2082531010E+02  0.2074030884E+02   0.5081375666E+04   3865600
     246           245              0.2082810739E+02  0.2074344029E+02   0.5102886311E+04   3850500
     247           246              0.2083091839E+02  0.2074658269E+02   0.5124405924E+04   3835400
     248           247              0.2083373903E+02  0.2074973202E+02   0.5145933541E+04   3820300
     249           248              0.2083657705E+02  0.2075289602E+02   0.5167471108E+04   3805200
     250           249              0.2083940001E+02  0.2075604241E+02   0.5189010601E+04   3790100
     251           250              0.2084222548E+02  0.2075918872E+02   0.5210556370E+04   3775000
     252           251              0.2084506052E+02  0.2076234203E+02   0.5232110191E+04   3759900
     253           252              0.2084789360E+02  0.2076549086E+02   0.5253669187E+04   3744800
     254           253              0.2085072647E+02  0.2076863700E+02   0.5275233797E+04   3729700
     255           254              0.2085354375E+02  0.2077176514E+02   0.5296800112E+04   3714600
     256           255              0.2085636097E+02  0.2077489081E+02   0.5318372049E+04   3699500
     257           256              0.2085911386E+02  0.2077794999E+02   0.5339933148E+04   3684400
     258           257              0.2086185972E+02  0.2078099979E+02   0.5361497947E+04   3669300
     259           258              0.2086453987E+02  0.2078398180E+02   0.5383051285E+04   3654200
     260           259              0.2086717232E+02  0.2078691396E+02   0.5404597630E+04   3639100
     261           260              0.2086974521E+02  0.2078978450E+02   0.5426133754E+04   3624000
     262           261              0.2087227446E+02  0.2079260929E+02   0.5447663635E+04   3608900
     263           262              0.2087472835E+02  0.2079535676E+02   0.5469178827E+04   3593800
     264           263              0.2087710514E+02  0.2079802520E+02   0.5490678652E+04   3578700
     265           264              0.2087940562E+02  0.2080061541E+02   0.5512163085E+04   3563600
     266           265              0.2088164589E+02  0.2080314347E+02   0.5533636162E+04   3548500
     267           266              0.2088386051E+02  0.2080564381E+02   0.5555106897E+04   3533400
     268           267              0.2088606167E+02  0.2080812861E+02   0.5576578467E+04   3518300
     269           268              0.2088820536E+02  0.2081055404E+02   0.5598039037E+04   3503200
     270           269              0.2089032878E+02  0.2081295719E+02   0.5619498442E+04   3488100
     271           270              0.2089242233E+02  0.2081532852E+02   0.5640954028E+04   3473000
     272           271              0.2089451915E+02  0.2081770106E+02   0.5662414689E+04   3457900
     273           272              0.2089660324E+02  0.2082005890E+02   0.5683876081E+04   3442800
     274           273              0.2089870430E+02  0.2082243165E+02   0.5705346273E+04   3427700
     275           274              0.2090080304E+02  0.2082480012E+02   0.5726820033E+04   3412600
     276           275              0.2090287727E+02  0.2082714220E+02   0.5748291248E+04   3397500
     277           276              0.2090497523E+02  0.2082950601E+02   0.5769773164E+04   3382400
     278           277              0.2090704068E+02  0.2083183550E+02   0.5791250269E+04   3367300
     279           278              0.2090914794E+02  0.2083420476E+02   0.5812743128E+04   3352200
     280           279              0.2091121045E+02  0.2083652756E+02   0.5834227716E+04   3337100
     281           280              0.2091326413E+02  0.2083883971E+02   0.5855713958E+04   3322000
     282           281              0.2091532531E+02  0.2084115749E+02   0.5877206411E+04   3306900
     283           282              0.2091736310E+02  0.2084345015E+02   0.5898696393E+04   3291800
     284           283              0.2091941913E+02  0.2084575921E+02   0.5920195614E+04   3276700
     285           284              0.2092146872E+02  0.2084806006E+02   0.5941697117E+04   3261600
     286           285              0.2092350365E+02  0.2085034455E+02   0.5963198542E+04   3246500
     287           286              0.2092557004E+02  0.2085265864E+02   0.5984713030E+04   3231400
     288           287              0.2092760646E+02  0.2085494116E+02   0.6006223055E+04   3216300
     289           288              0.2092964681E+02  0.2085722589E+02   0.6027738282E+04   3201200
     290           289              0.2093169939E+02  0.2085952111E+02   0.6049261122E+04   3186100
     291           290              0.2093372693E+02  0.2086178972E+02   0.6070780809E+04   3171000
     292           291              0.2093574369E+02  0.2086404594E+02   0.6092301413E+04   3155900
     293           292              0.2093773737E+02  0.2086627752E+02   0.6113819312E+04   3140800
     294           293              0.2093971471E+02  0.2086849119E+02   0.6135336409E+04   3125700
     295           294              0.2094167349E+02  0.2087068476E+02   0.6156852006E+04   3110600
     296           295              0.2094359102E+02  0.2087283564E+02   0.6178359350E+04   3095500
     297           296              0.2094550066E+02  0.2087497709E+02   0.6199868195E+04   3080400
     298           297              0.2094735676E+02  0.2087706361E+02   0.6221364957E+04   3065300
     299           298              0.2094917978E+02  0.2087911563E+02   0.6242855574E+04   3050200
     300           299              0.2095095166E+02  0.2088111515E+02   0.6264334545E+04   3035100
     301           300              0.2095268895E+02  0.2088307869E+02   0.6285806684E+04   3020000
     302           301              0.2095438683E+02  0.2088500144E+02   0.6307270436E+04   3004900
     303           302              0.2095605041E+02  0.2088688853E+02   0.6328727224E+04   2989800
     304           303              0.2095765252E+02  0.2088871287E+02   0.6350168713E+04   2974700
     305           304              0.2095919691E+02  0.2089047823E+02   0.6371595860E+04   2959600
     306           305              0.2096069241E+02  0.2089219342E+02   0.6393011186E+04   2944500
     307           306              0.2096215814E+02  0.2089387750E+02   0.6414420392E+04   2929400
     308           307              0.2096362045E+02  0.2089555674E+02   0.6435831477E+04   2914300
     309           308              0.2096509011E+02  0.2089724192E+02   0.6457247755E+04   2899200
     310           309              0.2096661728E+02  0.2089898303E+02   0.6478684739E+04   2884100
     311           310              0.2096815906E+02  0.2090073732E+02   0.6500129307E+04   2869000
     312           311              0.2096975246E+02  0.2090254171E+02   0.6521593015E+04   2853900
     313           312              0.2097135833E+02  0.2090435719E+02   0.6543063801E+04   2838800
     314           313              0.2097303167E+02  0.2090623858E+02   0.6564558913E+04   2823700
     315           314              0.2097474305E+02  0.2090815656E+02   0.6586069317E+04   2808600
     316           315              0.2097647600E+02  0.2091009475E+02   0.6607589941E+04   2793500
     317           316              0.2097820531E+02  0.2091202800E+02   0.6629112877E+04   2778400
     318           317              0.2097997552E+02  0.2091400075E+02   0.6650652238E+04   2763300
