# # of beads(n)  # of segments(m)      <Ree2>/m          <Ree2>/n       Ree(ilength)         Count
# -------------  ----------------      --------          --------       ------------         -----
     264           263              0.2092048185E+02  0.2084123760E+02   0.5502086727E+04   3555000
     265           264              0.2092278233E+02  0.2084382843E+02   0.5523614535E+04   3540000
     266           265              0.2092502112E+02  0.2084635563E+02   0.5545130597E+04   3525000
     267           266              0.2092723175E+02  0.2084885261E+02   0.5566643647E+04   3510000
     268           267              0.2092942627E+02  0.2085133139E+02   0.5588156813E+04   3495000
     269           268              0.2093156000E+02  0.2085374751E+02   0.5609658081E+04   3480000
     270           269              0.2093366923E+02  0.2085613712E+02   0.5631157023E+04   3465000
     271           270              0.2093574685E+02  0.2085849317E+02   0.5652651649E+04   3450000
     272           271              0.2093782316E+02  0.2086084586E+02   0.5674150075E+04   3435000
     273           272              0.2093988466E+02  0.2086318178E+02   0.5695648627E+04   3420000
     274           273              0.2094196279E+02  0.2086553227E+02   0.5717155841E+04   3405000
     275           274              0.2094403798E+02  0.2086787784E+02   0.5738666407E+04   3390000
     276           275              0.2094608730E+02  0.2087019568E+02   0.5760174007E+04   3375000
     277           276              0.2094815952E+02  0.2087253439E+02   0.5781692027E+04   3360000
     278           277              0.2095019766E+02  0.2087483724E+02   0.5803204752E+04   3345000
     279           278              0.2095227914E+02  0.2087718137E+02   0.5824733602E+04   3330000
     280           279              0.2095431668E+02  0.2087947983E+02   0.5846254353E+04   3315000
     281           280              0.2095634400E+02  0.2088176626E+02   0.5867776320E+04   3300000
     282           281              0.2095837786E+02  0.2088405737E+02   0.5889304178E+04   3285000
     283           282              0.2096038658E+02  0.2088632161E+02   0.5910829015E+04   3270000
     284           283              0.2096241529E+02  0.2088860397E+02   0.5932363528E+04   3255000
     285           284              0.2096443421E+02  0.2089087479E+02   0.5953899316E+04   3240000
     286           285              0.2096643959E+02  0.2089313036E+02   0.5975435282E+04   3225000
     287           286              0.2096847642E+02  0.2089541552E+02   0.5996984256E+04   3210000
     288           287              0.2097048536E+02  0.2089767118E+02   0.6018529298E+04   3195000
